ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-02-10,28.803019097747427,16.826148698679916,21.966221225029003,28.803019097747427,28.803019097747427,-9.457445987974923,-9.457445987974923,-9.457445987974923,0.02606539290647704,0.02606539290647704,0.02606539290647704,-9.4835113808814,-9.4835113808814,-9.4835113808814,0.0,0.0,0.0,19.345573109772502
2003-02-11,28.802893578561708,16.657342212373067,22.000957842480314,28.802893578561708,28.802893578561708,-9.286490987305587,-9.286490987305587,-9.286490987305587,-0.022694431395714382,-0.022694431395714382,-0.022694431395714382,-9.263796555909872,-9.263796555909872,-9.263796555909872,0.0,0.0,0.0,19.51640259125612
2003-02-12,28.802768059375985,17.087129560194136,22.34707282911625,28.802768059375985,28.802768059375985,-9.061479667964228,-9.061479667964228,-9.061479667964228,-0.02045466321893857,-0.02045466321893857,-0.02045466321893857,-9.04102500474529,-9.04102500474529,-9.04102500474529,0.0,0.0,0.0,19.741288391411757
2003-02-13,28.80264254019027,17.31549524634513,22.658584244346205,28.80264254019027,28.80264254019027,-8.821161121885373,-8.821161121885373,-8.821161121885373,-0.004822746917972211,-0.004822746917972211,-0.004822746917972211,-8.816338374967401,-8.816338374967401,-8.816338374967401,0.0,0.0,0.0,19.981481418304895
2003-02-14,28.80251702100455,17.513458291154517,22.801054196443392,28.80251702100455,28.80251702100455,-8.599603630079747,-8.599603630079747,-8.599603630079747,-0.008750817577233793,-0.008750817577233793,-0.008750817577233793,-8.590852812502511,-8.590852812502511,-8.590852812502511,0.0,0.0,0.0,20.202913390924806
2003-02-15,28.80239150181883,17.860467765842728,22.9791483355309,28.80239150181883,28.80239150181883,-8.357307124734099,-8.357307124734099,-8.357307124734099,0.008322986368006031,0.008322986368006031,0.008322986368006031,-8.365630111102105,-8.365630111102105,-8.365630111102105,0.0,0.0,0.0,20.44508437708473
2003-02-16,28.802265982633113,18.139133038558967,23.505526138770612,28.802265982633113,28.802265982633113,-8.119316053880452,-8.119316053880452,-8.119316053880452,0.022334279835391182,0.022334279835391182,0.022334279835391182,-8.141650333715843,-8.141650333715843,-8.141650333715843,0.0,0.0,0.0,20.682949928752663
2003-02-17,28.802140463447394,18.361916785006546,23.420533253657368,28.802140463447394,28.802140463447394,-7.893721298351423,-7.893721298351423,-7.893721298351423,0.02606539290644919,0.02606539290644919,0.02606539290644919,-7.9197866912578725,-7.9197866912578725,-7.9197866912578725,0.0,0.0,0.0,20.90841916509597
2003-02-18,28.802014944261675,18.61860182614927,23.688583056714446,28.802014944261675,28.802014944261675,-7.723477832092347,-7.723477832092347,-7.723477832092347,-0.022694431395727892,-0.022694431395727892,-0.022694431395727892,-7.700783400696619,-7.700783400696619,-7.700783400696619,0.0,0.0,0.0,21.07853711216933
2003-02-19,28.801889425075956,18.591767746430182,23.88551828693092,28.801889425075956,28.801889425075956,-7.505691823530699,-7.505691823530699,-7.505691823530699,-0.02045466321896882,-0.02045466321896882,-0.02045466321896882,-7.485237160311731,-7.485237160311731,-7.485237160311731,0.0,0.0,0.0,21.296197601545256
2003-02-20,28.801763905890237,19.04361249113448,24.119551727949773,28.801763905890237,28.801763905890237,-7.278405524780033,-7.278405524780033,-7.278405524780033,-0.0048227469179982045,-0.0048227469179982045,-0.0048227469179982045,-7.2735827778620346,-7.2735827778620346,-7.2735827778620346,0.0,0.0,0.0,21.523358381110203
2003-02-21,28.801638386704518,19.261059667437642,24.472571975479553,28.801638386704518,28.801638386704518,-7.074834187693033,-7.074834187693033,-7.074834187693033,-0.008750817577225343,-0.008750817577225343,-0.008750817577225343,-7.066083370115807,-7.066083370115807,-7.066083370115807,0.0,0.0,0.0,21.726804199011486
2003-02-22,28.8015128675188,19.341525329428986,24.64960599629949,28.8015128675188,28.8015128675188,-6.85450243672627,-6.85450243672627,-6.85450243672627,0.008322986368015888,0.008322986368015888,0.008322986368015888,-6.862825423094286,-6.862825423094286,-6.862825423094286,0.0,0.0,0.0,21.947010430792528
2003-02-23,28.80138734833308,19.611280903183992,24.8359201108285,28.80138734833308,28.80138734833308,-6.641384585268901,-6.641384585268901,-6.641384585268901,0.022334279835401788,0.022334279835401788,0.022334279835401788,-6.663718865104302,-6.663718865104302,-6.663718865104302,0.0,0.0,0.0,22.160002763064178
2003-02-24,28.80126182914736,19.637505097388825,25.35424079597392,28.80126182914736,28.80126182914736,-6.4424367701196585,-6.4424367701196585,-6.4424367701196585,0.026065392906549956,0.026065392906549956,0.026065392906549956,-6.4685021630262085,-6.4685021630262085,-6.4685021630262085,0.0,0.0,0.0,22.3588250590277
2003-02-25,28.80113630996164,19.837732744309175,24.939348395958238,28.80113630996164,28.80113630996164,-6.299446741871245,-6.299446741871245,-6.299446741871245,-0.022694431395683872,-0.022694431395683872,-0.022694431395683872,-6.276752310475561,-6.276752310475561,-6.276752310475561,0.0,0.0,0.0,22.5016895680904
2003-02-26,28.801010790775923,20.155133541729622,25.431606265452803,28.801010790775923,28.801010790775923,-6.1083541014800495,-6.1083541014800495,-6.1083541014800495,-0.020454663218945252,-0.020454663218945252,-0.020454663218945252,-6.087899438261103,-6.087899438261103,-6.087899438261103,0.0,0.0,0.0,22.692656689295873
2003-02-27,28.800885271590204,20.280483934157342,25.669462806664207,28.800885271590204,28.800885271590204,-5.906068393861625,-5.906068393861625,-5.906068393861625,-0.00482274691802737,-0.00482274691802737,-0.00482274691802737,-5.9012456469435985,-5.9012456469435985,-5.9012456469435985,0.0,0.0,0.0,22.89481687772858
2003-02-28,28.80075975240449,20.229433328708325,25.56564545826595,28.80075975240449,28.80075975240449,-5.724738359555982,-5.724738359555982,-5.724738359555982,-0.008750817577216895,-0.008750817577216895,-0.008750817577216895,-5.715987541978763,-5.715987541978763,-5.715987541978763,0.0,0.0,0.0,23.076021392848507
2003-03-01,28.800634233218766,20.700261961317448,25.84084574217234,28.800634233218766,28.800634233218766,-5.522918860770542,-5.522918860770542,-5.522918860770542,0.008322986368039095,0.008322986368039095,0.008322986368039095,-5.531241847138581,-5.531241847138581,-5.531241847138581,0.0,0.0,0.0,23.277715372448224
2003-03-02,28.800508714033047,20.93465098769246,25.896203933461077,28.800508714033047,28.800508714033047,-5.323739104840384,-5.323739104840384,-5.323739104840384,0.022334279835378806,0.022334279835378806,0.022334279835378806,-5.346073384675763,-5.346073384675763,-5.346073384675763,0.0,0.0,0.0,23.47676960919266
2003-03-03,28.80038319484733,21.057298029001167,26.254633307408014,28.80038319484733,28.80038319484733,-5.133459250472984,-5.133459250472984,-5.133459250472984,0.026065392906522107,0.026065392906522107,0.026065392906522107,-5.1595246433795054,-5.1595246433795054,-5.1595246433795054,0.0,0.0,0.0,23.666923944374346
2003-03-04,28.80025767566161,21.092232423479086,26.357132937084163,28.80025767566161,28.80025767566161,-4.993340541574603,-4.993340541574603,-4.993340541574603,-0.022694431395713595,-0.022694431395713595,-0.022694431395713595,-4.9706461101788895,-4.9706461101788895,-4.9706461101788895,0.0,0.0,0.0,23.806917134087005
2003-03-05,28.80013215647589,21.242233176542193,26.627382895370488,28.80013215647589,28.80013215647589,-4.798981181718077,-4.798981181718077,-4.798981181718077,-0.020454663218921688,-0.020454663218921688,-0.020454663218921688,-4.778526518499156,-4.778526518499156,-4.778526518499156,0.0,0.0,0.0,24.001150974757813
2003-03-06,28.800006637290167,21.489914609607602,26.70444061150274,28.800006637290167,28.800006637290167,-4.5871449146832255,-4.5871449146832255,-4.5871449146832255,-0.004822746918009119,-0.004822746918009119,-0.004822746918009119,-4.582322167765216,-4.582322167765216,-4.582322167765216,0.0,0.0,0.0,24.21286172260694
2003-03-07,28.79988111810445,21.836624938757915,27.08519774293966,28.79988111810445,28.79988111810445,-4.390035310800248,-4.390035310800248,-4.390035310800248,-0.008750817577221428,-0.008750817577221428,-0.008750817577221428,-4.381284493223027,-4.381284493223027,-4.381284493223027,0.0,0.0,0.0,24.409845807304205
